german,english,german_full,s1,t1,s2,t2,s3,t3,s4,t4,s5,t5,s6,t6
Ampel,traffic light,"die Ampel, -n",Dort an der Ampel kannst du über die Straße gehen.,You can cross the road there at the traffic lights.,,,,,,,,,,
Amt,office,"das Amt, ¨-er",Das Arbeitsamt befindet sich neben dem Busbahnhof.,The employment office is located next to the bus station.,,,,,,,,,,
Anbieter,provider,"der Anbieter, -",Ist das ein privater Telefonanbieter?,Is this a private telephone provider?,,,,,,,,,,
Angebot,offer,"das Angebot, -e",Ich habe in der Zeitung ein paar günstige Wohnungsangebote gelesen.,I've read a few cheap apartment offers in the newspaper.,Der Käse ist heute im Angebot.,The cheese is on offer today.,,,,,,,,
Änderung,"change, modification","die Änderung, -en",Es gibt eine Programmänderung.,There is a change in the program.,,,,,,,,,,
Anfang,beginning,"der Anfang, ¨-e",Wie war der Film? – Ich habe nur den Anfang gesehen.,How was the movie? - I only saw the beginning.,Am Anfang habe ich bei der Arbeit viele Fragen gestellt.,"In the beginning, I asked a lot of questions at work.",Mein Chef ist Anfang fünfzig.,My boss is in his early fifties.,"Meine Mutter war von Anfang an dagegen, dass ich nach Berlin ziehe.",My mother was against me moving to Berlin right from the start.,Wir machen Anfang Juli Ferien.,We go on vacation at the beginning of July.,Meine Freundin wohnt am Anfang der Straße.,My girlfriend lives at the beginning of the street.
Angabe,"information, specification","die Angabe,-n","Wir brauchen von Ihnen folgende Angaben: Name, Adresse, Geburtsdatum.","We need the following information from you: Name, address, date of birth.",,,,,,,,,,
Angehörige,relative,"der Angehörige, -n 
die Angehörige, -n",Der Arzt darf nur Familienangehörigen Auskunft geben.,The doctor may only give information to family members.,,,,,,,,,,
Angst,fear,"die Angst, “-e",Du brauchst keine Angst zu haben. Der Hund tut dir nichts.,You don't need to be afraid. The dog won't hurt you.,"Ich habe Angst, vielleicht ist etwas passiert.","I'm scared, maybe something has happened.",,,,,,,,
Ankunft,arrival,"die Ankunft, ""-e","Die Abfahrt ist um 0.55 Uhr, die Ankunft um 8.07 Uhr.","Departure is at 0.55 hrs, arrival at 8.07 hrs.",Gleich nach der Ankunft habe ich meine Eltern angerufen.,I called my parents as soon as I arrived.,,,,,,,,
Anlage,"system, attachment","die Anlage, -n",Meine Musikanlage ist kaputt.,My music system is broken.,In der Anlage der E-Mail finden Sie meinen Lebenslauf.,Please find my CV attached to the e-mail.,,,,,,,,
Anleitung,instructions,"die Anleitung, -en","In der Anleitung steht, dass bei diesem Spiel der Älteste beginnt.",The instructions say that in this game the oldest player starts.,,,,,,,,,,
Anmeldung,registration,"die Anmeldung, -en",Wo bekomme ich die Formulare für die Anmeldung?,Where can I get the registration forms?,"Die Anmeldung ist im Erdgeschoss, Zimmer 55.","Registration is on the first floor, room 55.",,,,,,,,
Annonce,advertisement,"die Annonce, -n","Ich habe alle Annoncen gelesen, aber die Wohnungen sind zu teuer.","I have read all the advertisements, but the apartments are too expensive.",,,,,,,,,,
Anrede,"salutation, title","die Anrede, -n",Du darfst im Brief die Anrede nicht vergessen.,You must not forget the salutation in the letter.,,,,,,,,,,
Anruf,(phone) call,"der Anruf, -e",Ich warte auf einen Anruf aus Berlin.,I'm waiting for a call from Berlin.,,,,,,,,,,
Anrufbeantworter,answering machine,"der Anrufbeantworter, -",Ich habe dir eine Nachricht auf den Anrufbeantworter gesprochen.,I left you a message on the answering machine.,,,,,,,,,,
Ansage,announcement,"die Ansage, -n",Achten Sie auf die Ansage am Bahnsteig.,Pay attention to the announcement on the platform.,,,,,,,,,,
Anschluss,connection,"der Anschluss, ¨-e",In Mannheim haben Sie Anschluss nach Saarbrücken.,In Mannheim you have a connection to Saarbrücken.,Ich brauche in meiner Wohnung einen Telefonanschluss.,I need a telephone connection in my apartment.,,,,,,,,
Anspruch,"claim, entitlement","der Anspruch, ¨-e",Sie wohnen im Stadtzentrum. Deshalb haben Sie keinen Anspruch auf Fahrgeld.,"You live in the city center. Therefore, you are not entitled to a fare.",,,,,,,,,,
Angestellte,employee,"der Angestellte, -n 
die Angestellte, -n",Björn ist Angestellter in einem Reisebüro.,Björn works in a travel agency.,,,,,,,,,,
Antrag,application,"der Antrag, ¨-e",Haben Sie schon einen Antrag für das Wohngeld ausgefüllt?,Have you already filled out an application for housing benefit?,,,,,,,,,,
Antwort,answer,"die Antwort, -en",Leider habe ich keine Antwort bekommen.,"Unfortunately, I have not received an answer.",,,,,,,,,,
"Anwalt, Anwältin","lawyer, attorney","der Anwalt, ¨-e 
die Anwältin, -nen",Ich werde das nicht bezahlen. Ich möchte zuerst mit meinem Anwalt sprechen.,I'm not going to pay that. I would like to speak to my lawyer first.,,,,,,,,,,
Anzeige,"display, advertisement, (criminal) report","die Anzeige, -n","Ich habe alle Anzeigen gelesen, aber die Wohnungen sind zu teuer.","I have read all the ads, but the apartments are too expensive.","Hier dürfen Sie nicht parken, sonst bekommen Sie eine Anzeige.","You are not allowed to park here, otherwise you will be reported to the police.",,,,,,,,
Anzug,suit,"der Anzug, ¨-e",Mein Mann hat sich einen neuen Anzug gekauft.,My husband has bought himself a new suit.,,,,,,,,,,
Apartment,apartment,"das Apartment, -s",Wir haben ein Ferienapartment gemietet.,We rented a vacation apartment.,,,,,,,,,,
Apfel,apple,"der Apfel, ¨-",Zum Frühstück esse ich jeden Tag einen Apfel.,I eat an apple for breakfast every day.,,,,,,,,,,
Apotheke,pharmacy,"die Apotheke, -n",Ist hier in der Nähe eine Apotheke?,Is there a pharmacy nearby?,,,,,,,,,,
Apparat,apparatus,"der Apparat, -e",Können Sie den Apparat bitte etwas leiser stellen?,Can you please turn the volume down a little?,Wo ist mein Fotoapparat?,Where is my camera?,,,,,,,,
Appetit,appetite,der Appetit (Sg.),Ich habe heute keinen Appetit. Ich mag nichts essen.,I have no appetite today. I don't want to eat anything.,Auf was hast du Appetit? Vielleicht auf einen Salat?,What are you in the mood for? Maybe a salad?,Guten Appetit!,Enjoy your meal!,,,,,,
Aprikose,apricot,"die Aprikose, -n (D, CH) 
→ A: Marille",Schmecken dir die Aprikosen?,Do you like the apricots?,,,,,,,,,,
Arbeit,work,"die Arbeit, -en",Wie gefällt dir deine Arbeit?,How do you like your work?,Nach der Ausbildung hat Mohamed eine Arbeit gefunden.,Mohamed found a job after completing his training.,,,,,,,,
"Arbeiter, Arbeiterin",worker,"der Arbeiter, - 
die Arbeiterin, -nen",Maria ist seit zwei Jahren Arbeiterin bei Siemens.,Maria has been working at Siemens for two years.,,,,,,,,,,
Arbeitserlaubnis,work permit,"die Arbeitserlaubnis, -se",Haben Sie eine Arbeitserlaubnis?,Do you have a work permit?,,,,,,,,,,
Arbeitslosigkeit,unemployment,die Arbeitslosigkeit (Sg.),Die Arbeitslosigkeit ist gesunken.,Unemployment has fallen.,,,,,,,,,,
Arbeitsplatz,workplace,"der Arbeitsplatz, ¨-e",In der Industrie gibt es immer weniger Arbeitsplätze.,There are fewer and fewer jobs in industry.,,,,,,,,,,
Arbeitsstelle,"job, workplace","die Arbeitsstelle, -n",Meine Frau hat eine neue Arbeitsstelle gefunden.,My wife has found a new job.,,,,,,,,,,
"Architekt, Architektin",architect,"der Architekt, -en 
die Architektin, -nen",Dieses Haus hat eine berühmte Architektin gebaut.,This house was built by a famous architect.,,,,,,,,,,
Ärger,"anger, trouble",der Ärger (Sg.),Ich hatte heute Ärger im Büro. Ich habe mich mit einem Kollegen gestritten.,I had trouble at the office today. I got into an argument with a colleague.,,,,,,,,,,
Arm,arm,"der Arm, -e",Mein Freund hat sich den Arm gebrochen.,My friend broke his arm.,,,,,,,,,,
Art,"kind, type","die Art, -en",Im Zoo haben sie 34 verschiedene Arten von Vögeln.,They have 34 different species of birds at the zoo.,Seine Art gefällt mir nicht.,I don't like his manner.,Man kann auf unterschiedliche Art und Weise ein Fest feiern.,You can celebrate a party in different ways.,,,,,,
Artikel,article,"der Artikel, -",Ich habe einen interessanten Artikel gelesen.,I read an interesting article.,"Im Deutschen gibt es drei Artikel: der, die, das.","There are three articles in German: der, die, das.",,,,,,,,
"Arzt, Ärztin",doctor,"der Arzt, ¨-e 
die Ärztin, -nen",Ich muss heute zum Arzt.,I have to go to the doctor today.,Wann warst du beim Zahnarzt?,When did you go to the dentist?,,,,,,,,
Asyl,asylum,"das Asyl, -e",Die Menschen sind auf der Flucht und bitten um Asyl.,People are fleeing and asking for asylum.,,,,,,,,,,
Atem,breath,der Atem (Sg.),Bitte den Atem anhalten.,Please hold your breath.,,,,,,,,,,
Aufenthalt,stay,"der Aufenthalt, -e",Der Zug hat in München nur 20 Minuten Aufenthalt.,The train only has a 20-minute stop in Munich.,Wir wünschen Ihnen einen angenehmen Aufenthalt.,We wish you a pleasant stay.,,,,,,,,
Aufforderung,request,"die Aufforderung, -en","Sie erhalten eine Aufforderung, den Betrag bis Juni zu zahlen.",You will receive a request to pay the amount by June.,,,,,,,,,,
Aufgabe,task,"die Aufgabe, -n",Hast du deine Hausaufgaben für die Schule schon gemacht?,Have you done your homework for school yet?,Das ist nicht meine Aufgabe.,That is not my job.,,,,,,,,
Aufnahme,recording,"die Aufnahme, -n",Bitte seid leise! – Ich starte die Aufnahme.,Please be quiet! - I'll start the recording.,,,,,,,,,,
Auftrag,"order, assignment","der Auftrag, ¨-e",Ich komme im Auftrag von Frau Müller und soll Ihnen diesen Brief geben.,I have been commissioned by Mrs. Müller to give you this letter.,Im Moment hat die Firma besonders viele Aufträge.,The company has a particularly large number of orders at the moment.,,,,,,,,
Auftritt,"performance, appearance","der Auftritt, -e",Nach dem Auftritt feiern die Musiker.,The musicians celebrate after the performance.,,,,,,,,,,
Aufzug,elevator,"der Aufzug, ¨-e (D, A) 
→ Lift",Im Büro ist leider der Aufzug kaputt.,"Unfortunately, the elevator in the office is broken.",,,,,,,,,,
Auge,eye,"das Auge, -n",Meine beiden Kinder haben blaue Augen.,Both my children have blue eyes.,,,,,,,,,,
Augenblick,moment,"der Augenblick, -e",Ich wollte gerade parken. In dem Augenblick ist ein Wagen aus der Ausfahrt gekommen.,"I was just about to park. At that moment, a car came out of the exit.","Einen Augenblick, bitte!","One moment, please!",Im Augenblick sind keine Plätze frei.,There are no places available at the moment.,,,,,,
Ausbildung,education,"die Ausbildung, -en",Ich habe meine Ausbildung abgeschlossen.,I have completed my training.,Mit deiner guten Ausbildung findest du sicher eine Arbeit.,"With your good training, you're sure to find a job.",,,,,,,,
Ausdruck,expression,"der Ausdruck, ¨-e",1. Diesen Ausdruck habe ich noch nie gehört.,1 I have never heard this expression before.,,,,,,,,,,
Ausdruck,printout,"der Ausdruck, -e",2. Machen Sie doch bitte einen Ausdruck von der E-Mail.,2. please make a printout of the e-mail.,,,,,,,,,,
Ausfahrt,(car) exit,"die Ausfahrt, -en","Hier ist eine Ausfahrt, da dürfen Sie nicht parken.","There is an exit here, you are not allowed to park there.",Wie weit ist es noch bis zur Ausfahrt Freiburg?,How far is it to the Freiburg exit?,,,,,,,,
Ausflug,"excursion, trip","der Ausflug, ¨-e",Am Wochenende machen wir mit Freunden einen Ausflug nach Heidelberg.,We're going on a trip to Heidelberg with friends at the weekend.,,,,,,,,,,
Ausgabe,"expense, edition, issue (of a book)","die Ausgabe, -n",Wie hoch sind Ihre Ausgaben in einem Monat?,How much do you spend in a month?,Wo ist die Essensausgabe?,Where is the food counter?,In welchem Buch hast du das gelesen? In welcher Ausgabe?,In which book did you read that? In which edition?,,,,,,
Ausgang,exit,"der Ausgang, ¨-e",Wo ist der Ausgang bitte?,"Where is the exit, please?",,,,,,,,,,
Aushilfe,"temporary help, assistance","die Aushilfe, -n",Wir suchen eine freundliche Aushilfe für unser Geschäft.,We are looking for a friendly assistant for our store.,,,,,,,,,,
Auskunft,"information, information desk","die Auskunft, ¨-e",Ich hätte gern eine Auskunft.,I would like some information.,"Die Firma hat eine neue Nummer. Bitte, rufen Sie die Auskunft an.",The company has a new number. Please call the information desk.,,,,,,,,
Ausland,abroad,das Ausland (Sg.),Wir fahren im Urlaub meistens ins Ausland.,We usually go abroad on vacation.,,,,,,,,,,
"Ausländer, Ausländerin",foreigner,"der Ausländer, - 
die Ausländerin, -nen",Viele Ausländer und Ausländerinnen lernen in der Volkshochschule Deutsch.,Many foreigners learn German at the adult education center.,,,,,,,,,,
Ausnahme,exception,"die Ausnahme, -n",Normalerweise muss ich am Wochenende arbeiten. Aber heute ist eine Ausnahme.,Normally I have to work at the weekend. But today is an exception.,,,,,,,,,,
Aussicht,"view, prospect","die Aussicht, -en",Von diesem Turm hat man eine tolle Aussicht.,You have a great view from this tower.,Mit mehreren Fremdsprachen hat man gute Aussichten im Beruf.,"With several foreign languages, you have good career prospects.",,,,,,,,
Aussprache,pronunciation,"die Aussprache, -n",Ali hat eine gute Aussprache.,Ali has good pronunciation.,,,,,,,,,,
Ausstellung,"exhibition, issue","die Ausstellung, -en",Wir waren mit der Lehrerin in einer Ausstellung.,We went to an exhibition with the teacher.,Die Ausstellung eines neuen Passes dauert zwei Wochen.,It takes two weeks to issue a new passport.,,,,,,,,
Auswahl,selection,"die Auswahl, -en",Wir müssen eine Auswahl aus den Büchern treffen.,We have to make a selection from the books.,Das Geschäft hat eine große Auswahl.,The store has a large selection.,,,,,,,,
Ausweis,identification,"der Ausweis, -e",Darf ich mal Ihren Ausweis sehen?,May I see your ID?,,,,,,,,,,
Auto,car,"das Auto, -s",Mario fährt mit dem Auto zur Arbeit.,Mario drives to work by car.,,,,,,,,,,
Autobahn,highway,"die Autobahn, -en",Das Dorf liegt direkt an der Autobahn.,The village is located directly on the highway.,,,,,,,,,,
Automat,automatic machine,"der Automat, -en",Zigaretten bekommst du am Automaten.,You can get cigarettes from the vending machine.,Der Fahrkartenautomat ist auf dem Bahnsteig.,The ticket machine is on the platform.,,,,,,,,
"Autor, Autorin",author,"der Autor, -en 
die Autorin, -nen",Diese Autorin hat in diesem Jahr schon zwei Bücher geschrieben.,This author has already written two books this year.,,,,,,,,,,
Bäckerei,bakery,"die Bäckerei, -en",Wir kaufen unser Brot immer in der Bäckerei am Markt.,We always buy our bread from the bakery at the market.,,,,,,,,,,
Bad,bathroom,"das Bad, ¨-er",Nach einem warmen Bad fühlt man sich gleich viel besser.,You immediately feel much better after a warm bath.,Ich möchte ein Zimmer mit Bad.,I would like a room with a bathroom.,,,,,,,,
Badewanne,bathtub,"die Badewanne, -n",Nach einem langen Arbeitstag setzte sie sich in die Badewanne.,"After a long day at work, she sat down in the bathtub.",,,,,,,,,,
Bahn,"train, railroad","die Bahn, -en",Ich komme mit der Bahn.,I come by train.,,,,,,,,,,
Straßenbahn,tram,"die Straßenbahn, -en",Nehmen Sie die Straßenbahn Nr. 16.,Take tram no. 16.,,,,,,,,,,
U-Bahn,subway,"die U-Bahn, -en",Die letzte U-Bahn geht um 23.15 Uhr.,The last subway leaves at 11.15 pm.,,,,,,,,,,
Bahnhof,(train) station,"der Bahnhof, ¨-e",Ich bringe Sie zum Bahnhof.,I'll take you to the station.,,,,,,,,,,
Bahnsteig,platform,"der Bahnsteig, -e (D, A) 
→ CH: Perron",Auf Hauptbahnhöfen gibt es meist viele Bahnsteige.,There are usually many platforms at main stations.,,,,,,,,,,
Balkon,balcony,"der Balkon, -e",Die Wohnung hat auch einen kleinen Balkon.,The apartment also has a small balcony.,,,,,,,,,,
Ball,ball,"der Ball, ¨-e",Ich spiele gern mit meinen Kindern Ball.,I like playing ball with my children.,,,,,,,,,,
Ballett,ballet,"das Ballett, -e",Meine Tochter möchte gern Ballett tanzen.,My daughter would like to dance ballet.,,,,,,,,,,
Banane,banana,"die Banane, -n","1 Kilo Bananen, bitte.","1 kilo of bananas, please.",,,,,,,,,,
Bank,bench,"die Bank, ¨-e","Kommt, wir setzen uns auf die Bank da vorne.","Come on, let's sit on the bench in front.",,,,,,,,,,
Bank,bank,"die Bank, -en",Bei welcher Bank haben Sie Ihr Konto?,Which bank do you have your account with?,,,,,,,,,,
Bancomat/Bankomat,ATM,"der Bancomat/Bankomat, -en (A, CH) 
→ D: Geldautomat",Ich hole noch schnell Geld vom Bankomaten.,I quickly get some money from the ATM.,,,,,,,,,,
Bankleitzahl,bank code,"die Bankleitzahl, -en",Bitte geben Sie Ihre Bankleitzahl an.,Please enter your bank sort code.,,,,,,,,,,
Bankomat-Karte,ATM card,"die Bankomat-Karte, -n (A) 
→ ec-Karte/EC-Karte",Sie können auch mit Bankomat-Karte zahlen.,You can also pay with an ATM card.,,,,,,,,,,
Bar,bar,"die Bar, -s",Setzen wir uns doch an die Bar!,Let's sit down at the bar!,Ich treffe meine Freundin in der Hotelbar.,I meet my girlfriend in the hotel bar.,,,,,,,,
Bargeld,cash,"das Bargeld, -er",Ich habe kein Bargeld mehr.,I have no more cash.,,,,,,,,,,
Bart,beard,"der Bart, ¨-e",John trägt jetzt einen Bart.,John now has a beard.,,,,,,,,,,
Basketball,basketball,"der Basketball, ¨-e",Sie spielt sehr gern Basketball.,She loves playing basketball.,Er hat zum Geburtstag einen neuen Basketball bekommen.,He got a new basketball for his birthday.,,,,,,,,
Batterie,battery,"die Batterie, -n",Bringst du bitte Batterien für die Kamera mit?,Could you please bring batteries for the camera?,,,,,,,,,,
Bauch,belly,"der Bauch, ¨-e",Mir tut der Bauch weh.,My stomach hurts.,,,,,,,,,,
Bau,"construction, building","der Bau, die Bauten",Ich wohne in einer Neubauwohnung.,I live in a newly built apartment.,Unser Haus ist ein Altbau.,Our house is an old building.,,,,,,,,
Baustelle,building site,"die Baustelle, -n",Wir müssen die Baustelle umfahren.,We have to drive around the roadworks.,,,,,,,,,,
Bauer,farmer,"der Bauer, -n",Wir kaufen unser Gemüse beim Bauern.,We buy our vegetables from the farmer.,,,,,,,,,,
Baum,tree,"der Baum, ¨-e",Wir haben zwei Bäume im Garten.,We have two trees in the garden.,,,,,,,,,,
"Beamte, Beamtin",civil servant,"der Beamte, -n 
die Beamtin, -nen",Meine Frau ist Beamtin bei der Polizei.,My wife is a police officer.,,,,,,,,,,
Bedarf,demand,"der Bedarf, -e",An diesem Produkt besteht großer Bedarf.,There is great demand for this product.,,,,,,,,,,
Bedeutung,meaning,"die Bedeutung, -en",Das Wort „Maus“ hat inzwischen zwei Bedeutungen.,"The word ""mouse"" now has two meanings.",,,,,,,,,,
Bedienungsanleitung,operating instructions,"die Bedienungsanleitung, -en",Die Bedienungsanleitung verstehe ich nicht.,I don't understand the operating instructions.,,,,,,,,,,
Bedingung,"condition, terms","die Bedingung, -en","Wenn Sie unsere Bedingungen akzeptieren, können wir einen Vertrag machen.","If you accept our conditions, we can make a contract.",Wir haben in unserem Betrieb sehr gute Arbeitsbedingungen.,We have very good working conditions in our company.,,,,,,,,
Beginn,beginning,der Beginn (Sg.),Zu Beginn der Stunde begrüßt die Lehrerin ihre Schüler.,"At the beginning of the lesson, the teacher welcomes her students.",,,,,,,,,,
Begründung,justification,"die Begründung, -en",Die Miete wurde ohne Begründung erhöht.,The rent was increased without justification.,,,,,,,,,,
Behörde,authority,"die Behörde, -n",Sie erhalten ein Schreiben von der zuständigen Behörde.,You will receive a letter from the competent authority.,,,,,,,,,,
Bein,leg,"das Bein, -e",Andreas hat sich das Bein gebrochen.,Andreas has broken his leg.,,,,,,,,,,
Beispiel,example,"das Beispiel, -e",Können Sie mir ein Beispiel sagen?,Can you give me an example?,"Mein Freund hat viele Hobbys wie zum Beispiel Kochen, Tanzen, Fußballspielen.","My boyfriend has lots of hobbies, such as cooking, dancing and playing soccer.","Hier gibt’s so viele Sachen: beispielsweise Wurst, Obst, Brot …","There are so many things here: sausage, fruit, bread, for example...",,,,,,
Beitrag,"contribution, fee","der Beitrag, ¨-e",Die Krankenkasse hat die Beiträge erhöht.,The health insurance company has increased the contributions.,Der Mitgliedsbeitrag für den Sportverein beträgt 34 Euro pro Monat.,The membership fee for the sports club is 34 euros per month.,,,,,,,,
Bekannte,acquaintance,"der Bekannte, -n 
die Bekannte, -n",In Hannover wohnen Bekannte von mir.,Friends of mine live in Hanover.,,,,,,,,,,
Beleg,receipt,"der Beleg, -e",Brauchen Sie einen Beleg?,Do you need a receipt?,,,,,,,,,,
Benzin,"gasoline, petrol","das Benzin, -e",Das Benzin soll wieder teurer werden.,Petrol is set to become more expensive again.,,,,,,,,,,
Beratung,"advice, counselling","die Beratung, -en",Beratungen für Familien gibt es jeden Dienstag zwischen 14 und 16 Uhr.,Advice for families is available every Tuesday between 2 and 4 pm.,,,,,,,,,,
Bereich,"area, field (of expertise)","der Bereich, -e",In welchem Bereich möchten Sie arbeiten?,In which area would you like to work?,Umfahren Sie den Baustellenbereich.,Drive around the roadworks area.,,,,,,,,
Berg,mountain,"der Berg, -e",Die Zugspitze ist der höchste Berg in Deutschland.,The Zugspitze is the highest mountain in Germany.,Wir fahren jeden Sonntag in die Berge.,We go to the mountains every Sunday.,Auf dem Berg haben wir ein Picknick gemacht.,We had a picnic on the mountain.,,,,,,
Bericht,report,"der Bericht, -e",Ich habe gestern einen interessanten Bericht gelesen.,I read an interesting report yesterday.,,,,,,,,,,
Beruf,profession,"der Beruf, -e",Was sind Sie von Beruf?,What is your profession?,,,,,,,,,,
Beschäftigung,employment,"die Beschäftigung, -en","Ich suche eine Halbtagsbeschäftigung, weil ich ein kleines Kind habe.",I am looking for a part-time job because I have a small child.,,,,,,,,,,
Bescheid,"information, notice","der Bescheid, -e",Den endgültigen Bescheid erhalten Sie in etwa vier Wochen.,You will receive the final decision in about four weeks.,,,,,,,,,,
Beschreibung,description,"die Beschreibung, -en",Eine Beschreibung des Geräts liegt bei.,A description of the device is enclosed.,,,,,,,,,,
Besprechung,discussion,"die Besprechung, -en","Tut mir leid, Herr Schmidt ist noch in einer Besprechung.","Sorry, Mr. Schmidt is still in a meeting.",,,,,,,,,,
Besserung,"improvement, recovery",die Besserung (Sg.),Gute Besserung!,Get well soon!,,,,,,,,,,
Bestätigung,confirmation,"die Bestätigung, -en",Ich brauche eine schriftliche Bestätigung für das Amt.,I need a written confirmation for the office.,,,,,,,,,,
Besuch,visit,"der Besuch, -e",Wir bekommen Besuch.,We have a visitor.,Ich mache einen Besuch im Krankenhaus.,I pay a visit to the hospital.,Ich bin hier nur zu Besuch.,I'm just here for a visit.,,,,,,
Betrag,amount,"der Betrag, ¨-e",Bitte überweisen Sie den Betrag auf unser Konto.,Please transfer the amount to our account.,,,,,,,,,,
"Betreuer, Betreuerin",supervisor,"der Betreuer, - 
die Betreuerin, -nen",Die Betreuerin der Kinder ist sehr nett.,The children's supervisor is very nice.,,,,,,,,,,
Betreuung,care,"die Betreuung, -en",Haben Sie eine Betreuung für Ihre Kinder?,Do you have childcare for your children?,,,,,,,,,,
Betrieb,"business, operation","der Betrieb, -e",In diesem Betrieb arbeiten zehn Leute.,Ten people work in this company.,Kurz vor Weihnachten ist in den Kaufhäusern immer viel Betrieb.,"Just before Christmas, department stores are always very busy.",Der Aufzug ist in Betrieb/außer Betrieb.,The elevator is in/out of service.,,,,,,
"Betriebsrat, Betriebsrätin",works council,"der Betriebsrat, ¨-e 
die Betriebsrätin, -nen",Der Betriebsrat wird Sie über die neuen Arbeitszeiten informieren.,The works council will inform you about the new working hours.,,,,,,,,,,
Bett,bed,"das Bett, -en",Wir wollten uns neue Betten kaufen.,We wanted to buy new beds.,"Solange Sie Fieber haben, müssen Sie im Bett bleiben.","As long as you have a fever, you must stay in bed.",,,,,,,,
Bevölkerung,population,"die Bevölkerung, -en",11 % der Bevölkerung wurden nicht im Inland geboren.,11 % of the population was not born in Germany.,,,,,,,,,,
Bewegung,movement,"die Bewegung, -en",Sie brauchen mehr Bewegung. Sie müssen regelmäßig spazieren gehen.,You need more exercise. You need to go for regular walks.,,,,,,,,,,
Beweis,proof,"der Beweis, -e",Haben Sie dafür Beweise?,Do you have proof of this?,,,,,,,,,,
