article,singular,plural,translation
der,Widerstand,-"e,"resistance, opposition"
der/die,Beamte,-,"official, civil servant"
die,Investition,-en,investment
die,Planung,-en,"planning, plan"
der,Polizist,-en,policeman
der,Schriftsteller,-,writer
die,Stärke,-n,strength
die,Steuer,-n,tax
das,Steuer,-n,"steering wheel, helm"
die,Therapie,-n,therapy
die,Überlegung,-en,"thought, thinking"
der,Verkehr,-e,traffic
die,Verletzung,-en,injury
der/die,Abgeordnete,Sg.,"member of the parliament, congress"
der,Anschluss,-"e,connection
die,Armee,-n,army
die,Atmosphäre,-n,atmosphere
die,Auswahl,-en,"choice, selection"
die,Beschreibung,-en,description
das,Boot,-e,boat
die,Einnahmen,Pl.,"income, receipts, revenue"
die,Erkrankung,-en,"illness, disease"
die,Fläche,-n,"area, surface"
der,Flughafen,-",airport
das,Gehirn,-e,brain
die,Gesundheit,Sg.,health
der,Park,-s,park
der,PC,Sg.,computer
die,Physik,Sg.,physics
die,Post,-en,"mail, post office"
die,Saison,-s,season
die,Stirn,-en,forehead
die,Strategie,-n,strategy
der,Wechsel,-,change
der,Alltag,Sg.,"workday, daily routine"
der,Auftritt,-e,"appearance, entrance"
der,Bahnhof,-"e,railway station
der,Bundeskanzler,-,federal chancellor
die,Demokratie,-n,democracy
die,Erwartung,-en,expectation
das,Fahrzeug,-e,vehicle
die,Fotografie,-n,photography
der,Hersteller,-,"manufacturer, producer"
das,Holz,-"er,wood
das,Knie,-,knee
die,Kombination,-en,combination
die,Liste,-n,list
das,Niveau,-s,"level, standard"
der,Pfarrer,-,pastor
das,Schicksal,-e,fate
die,Schrift,-en,"script, handwriting"
der,Standort,-e,"site, location"
der,Verlag,-e,publishing company
der,Zeltraum,Sg.,period of time
die,Abteilung,-en,department
der,Beweis,-e,"proof, evidence"
das,Detail,-s,detail
die,Dimension,-en,dimension
der,Forscher,-,researcher
die,Integration,-en,integration
die,Kasse,-n,"cash register, checkout"
die,Kategorie,-n,category
der,Organismus,die Organismen,organism
das,Radio,-s,radio
der,Unfall,-"e,accident
die,Verbesserung,-en,improvement
die,Verpflichtung,-en,"commitment, obligation"
das,Abitur,-e,"school leaving exam, A levels"
der,Bedarf,-e,"need, demand"
die,Beratung,-en,"advice, discussion, consultation"
die,Beschäftigung,-en,"employment, job, activity, occupation"
die,Betrachtung,-en,"contemplation, examination"
das,Frühjahr,-e,spring
das,Gewicht,-e,weight
der,Journalist,-en,journalist
die,Kompetenz,-en,"competence, authority"
das,Lebensmittel,-,food
der,Mittelpunkt,-e,"midpoint, center of focus"
der,Spiegel,-,mirror
der,Strand,-"e,beach
die,Treppe,-n,stairs
das,Vermögen,-,"assets, fortune, ability"
das,Wesen,-,"being, creature, nature"
die,Arbeitslosigkeit,Sg.,unemployment
die,Beobachtung,-en,observation
der,Bestandteil,-e,component
die,Beteiligung,-en,participation
die,Bewertung,-en,assessment
die,Bezeichnung,-en,"name, term"
die,Brücke,-n,bridge
die,CD,-s,CD
der,Gebrauch,-"e,use
der,Geschäftsführer,-,manager
die,Lippe,-n,lip
der,Ministerpräsident,-en,"governor, minister, president"
der,Nutzen,Sg.,"benefit, profit, use"
der,Ruf,-e,"reputation, call"
das,Signal,-e,signal
der,Standard,-s,standard
der,Start,-s,"star, starling"
die,Substanz,-en,substance
die,Taste,-n,"key, button"
das,Teilchen,-,particle
die,Versicherung,-en,"insurance, assurance"
die,Vorbereitung,-en,preparation
der,Vordergrund,-"e,foreground
der,Anwalt,-"e,"attorney, lawyer"
das,Experiment,-e,experiment
der,Glauben,Sg.,"faith, belief"
der,Grundsatz,-"e,principle
die,Komponente,-n,component
die,Oberfläche,-n,surface
das,Reich,-e,"empire, kingdom"
das,Rennen,-,race
der,Schlag,-"e,blow
der,Schuh,-e,shoe
das,Seminar,-e,seminar
die,Sendung,-en,broadcast
die,Spannung,-en,"suspense, tension"
die,Technologie,-n,technology
die,Truppe,-n,"troops, unit"
das,Umfeld,-er,milieu
der,Verbraucher,-,consumer
der,Verkauf,-"e,sale
das,Viertel,-,"quarter, district"
das,Vorjahr,-e,previous year
die,Bilanz,-en,balance sheet
das,Erlebnis,-se,experience
das,Grundstück,-e,plot of land
die,Identität,-en,identity
die,Kamera,-s,camera
der,Kanal,-"e,"canal, channel"
die,Karriere,-n,career
der,Kredit,-e,credit
das,Quartal,-e,quarter of the year
das,Rad,-"er,wheel
der,Rechner,-,"computer, calculator"
der,Schlaf,-"e,sleep
der,Sender,-,broadcasting station
das,Tal,-"er,valley
die,Tiefe,-n,depth
das,TV,Sg.,TV
der,Verlauf,-"e,course
die,Zigarette,-n,cigarette
der,Aktionär,-e,shareholder
der,Atem,Sg.,breath
die,Auffassung,-en,point of view
der,Bewohner,-,"inhabitant, occupant"
der,Charakter,-e,character
das,Einkommen,-,income
die,Erziehung,Sg.,"upbringing, education"
die,Geburt,-en,birth
die,Halle,-n,hall
die,Herausforderung,-en,challenge
die,Informationstechnologie,-n,information technology
der,Mittag,-e,"noon, midday"
die,Niederlage,-n,defeat
die,Norm,-en,norm
die,Reform,-en,reform
das,Restaurant,-s,restaurant
der,Schauspieler,-,actor
der,Schnee,Sg.,snow
die,Schülerin,-nen,schoolgirl
der,Service,-s,service
die,Sitzung,-en,"meeting, session"
der,Sturm,-"e,storm
die,Träne,-n,tear
die,Trauer,Sg.,grief
der,Vorstand,-"e,"board, chairperson"
der,Zufall,-"e,"chance, coincidence"
die,Zustimmung,-en,approval
